User ID,Gender,Age,EstimatedSalary,Purchased
15733973,Female,47,113000,1
15596761,Female,36,125000,1
15652400,Male,38,50000,0
15717893,Female,42,70000,0
15622585,Female,39,96000,1
15733964,Male,38,50000,0
15753861,Female,49,141000,1
15747097,Female,39,79000,0
15594762,Female,39,75000,1
15667417,Female,54,104000,1
15684861,Female,35,55000,0
15742204,Male,45,32000,1
15623502,Male,36,60000,0
15774872,Male,52,138000,1
15611191,Female,53,82000,1
15674331,Female,41,52000,0
15619465,Male,48,30000,1
15575247,Female,48,131000,1
15695679,Female,41,60000,0
15713463,Female,41,72000,0
15785170,Male,42,75000,0
15796351,Female,36,118000,1
15639576,Male,47,107000,1
15693264,Female,38,51000,0
15589715,Male,48,119000,1
15769902,Female,42,65000,0
15587177,Male,40,65000,0
15814553,Male,57,60000,1
15601550,Male,36,54000,0
15664907,Female,58,144000,1
15612465,Male,35,79000,0
15810800,Male,38,55000,0
15665760,Female,39,122000,1
15588080,Male,53,104000,1
15776844,Female,35,75000,0
15717560,Male,38,65000,0
15629739,Female,47,51000,1
15729908,Female,47,105000,1
15716781,Male,41,63000,0
15646936,Female,53,72000,1
15768151,Male,54,108000,1
15579212,Female,39,77000,0
15721835,Male,38,61000,0
15800515,Male,38,113000,1
15591279,Female,37,75000,0
15587419,Male,42,90000,1
15750335,Female,37,57000,0
15699619,Female,36,99000,1
15606472,Male,60,34000,1
15778368,Male,54,70000,1
15671387,Male,41,72000,0
15573926,Female,40,71000,1
15709183,Male,42,54000,0
15577514,Male,43,129000,1
15778830,Male,53,34000,1
15768072,Female,47,50000,1
15768293,Female,42,79000,0
15654456,Female,42,104000,1
15807525,Male,59,29000,1
15574372,Female,58,47000,1
15671249,Female,46,88000,1
15779744,Male,38,71000,0
15624755,Male,54,26000,1
15611430,Female,60,46000,1
15774744,Female,60,83000,1
15629885,Male,39,73000,0
15708791,Female,59,130000,1
15793890,Male,37,80000,0
15646091,Female,46,32000,1
15596984,Female,46,74000,0
15800215,Female,42,53000,0
15577806,Female,41,87000,1
15749381,Male,58,23000,1
15683758,Female,42,64000,0
15670615,Male,48,33000,1
15715622,Male,44,139000,1
15707634,Female,49,28000,1
15806901,Male,57,33000,1
15775335,Female,56,60000,1
15724150,Male,49,39000,1
15627220,Female,39,71000,0
15672330,Male,47,34000,1
15668521,Male,48,35000,1
15807837,Female,48,33000,1
15592570,Male,47,23000,1
15748589,Male,45,45000,1
15635893,Female,60,42000,1
15757632,Male,39,59000,0
15691863,Female,46,41000,1
15706071,Female,51,23000,1
15654296,Male,50,20000,1
15755018,Female,36,33000,0
15594041,Male,49,36000,1
,Female,,,
